City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,margate,51.3813,1.3862,20.94,80,66,1.34,GB,1688858646
84,krasnoselkup,65.7,82.4667,14.77,90,100,5.24,RU,1688858945
85,busselton,-33.65,115.3333,14.47,76,100,5.67,AU,1688858837
86,punta arenas,-53.15,-70.9167,-1.94,86,0,2.06,CL,1688858650
87,airai,-8.9266,125.4092,14.46,71,31,1.69,TL,1688858833
88,kalmanhaza,47.8833,21.5833,17.94,66,1,1.66,HU,1688858946
89,tasiilaq,65.6145,-37.6368,4.09,82,92,2.37,GL,1688858840
90,chokurdakh,70.6333,147.9167,3.45,60,100,7.06,RU,1688858946
91,sioux lookout,50.1001,-91.917,21.04,37,75,3.09,CA,1688858837
92,bengkulu,-3.8004,102.2655,23.66,90,33,1.38,ID,1688858947
93,norman wells,65.282,-126.8329,37.02,22,100,5.66,CA,1688858947
94,port lincoln,-34.7333,135.8667,13.39,80,7,5.84,AU,1688858947
95,salalah,17.0151,54.0924,26.05,100,100,1.54,OM,1688858923
96,pakaur,24.6333,87.85,28.02,83,81,2.08,IN,1688858947
97,cape town,-33.9258,18.4232,8.95,84,20,2.57,ZA,1688858700
98,usinsk,65.9939,57.5281,8.77,93,100,3.32,RU,1688858948
99,ponta do sol,32.6667,-17.1,22.62,81,52,0.91,PT,1688858648
100,darhan,49.4867,105.9228,19.1,81,6,1.13,MN,1688858948
101,havoysund,70.9963,24.6622,7.13,78,60,3.43,NO,1688858948
102,bethel,41.3712,-73.414,27.05,78,100,1.54,US,1688858845
103,gorele,41.0308,39.0031,21.26,85,72,3.6,TR,1688858949
104,voyinka,45.8699,33.9914,20.43,86,86,3.79,UA,1688858949
105,saint george,37.1041,-113.5841,39.68,5,0,6.17,US,1688858778
106,bredasdorp,-34.5322,20.0403,7.41,87,62,4.7,ZA,1688858384
107,laguna,38.421,-121.4238,33.63,39,0,5.14,US,1688858949
108,lasa,46.6166,10.7002,18.49,86,1,1.61,IT,1688859020
109,ribeira grande,38.5167,-28.7,19.87,84,10,2.24,PT,1688858490
110,kapaa,22.0752,-159.319,29.18,68,40,8.75,US,1688858649
111,torit,4.4133,32.5678,19.72,92,53,1.89,SS,1688859020
112,kamyshevatskaya,46.4132,37.9563,22.32,84,93,2.92,RU,1688859021
113,flinders,-34.5833,150.8552,15.59,61,0,3.13,AU,1688859021
114,broome,42.2506,-75.833,27.42,66,20,0.89,US,1688858970
115,tura,25.5198,90.2201,23.76,96,100,2.37,IN,1688859021
116,bansang,13.4333,-14.65,28.84,69,86,2.96,GM,1688859022
117,atar,20.5169,-13.0499,34.46,16,8,7.18,MR,1688859022
118,robertsport,6.7533,-11.3686,26.07,79,57,3.99,LR,1688859022
119,lorengau,-2.0226,147.2712,27.0,82,100,1.66,PG,1688858907
120,nikolskoye,59.7035,30.7861,14.89,97,45,1.56,RU,1688859023
121,cam ranh,11.9214,109.1591,26.98,89,20,0.0,VN,1688859023
122,wattegama,6.7989,81.4808,24.03,78,92,1.17,LK,1688859023
123,babakan,-7.282,107.2224,22.77,91,80,1.07,ID,1688859023
124,meulaboh,4.1363,96.1285,23.91,91,100,1.28,ID,1688859024
125,east london,-33.0153,27.9116,12.91,61,8,9.44,ZA,1688859024
126,katsuura,35.1333,140.3,25.76,90,100,10.89,JP,1688859024
127,deputatskiy,69.3,139.9,0.68,75,98,5.49,RU,1688859024
128,oksfjord,70.2396,22.3479,12.22,77,61,0.57,NO,1688859025
129,pangnirtung,66.1451,-65.7125,7.03,92,100,0.71,CA,1688859025
130,alice springs,-23.7,133.8833,6.75,87,97,2.82,AU,1688858782
131,chuy,-33.6971,-53.4616,11.0,78,52,2.75,UY,1688858654
132,pokhara,28.2333,83.9833,22.16,86,79,1.57,NP,1688859025
133,fallon,39.4735,-118.7774,34.14,17,0,3.6,US,1688858991
134,barra da estiva,-13.6261,-41.3269,19.47,61,69,1.87,BR,1688859026
135,rapina,58.0981,27.4636,12.82,96,15,3.88,EE,1688859026
136,new norfolk,-42.7826,147.0587,9.72,73,16,4.82,AU,1688858654
137,curup,-3.4667,102.5333,19.9,97,53,1.17,ID,1688859026
138,port hardy,50.6996,-127.4199,17.1,72,75,5.14,CA,1688859027
139,ucluelet,48.9329,-125.5528,17.27,74,37,1.34,CA,1688859027
140,altay,47.8667,88.1167,19.0,52,65,1.5,CN,1688859027
141,malakal,9.5334,31.6605,24.17,81,63,1.57,SS,1688859027
142,sola,-13.8833,167.55,26.01,83,91,9.15,VU,1688859027
143,vanimo,-2.6741,141.3028,24.72,92,100,1.76,PG,1688859028
144,hofn,64.2539,-15.2082,12.61,91,100,2.74,IS,1688859028
145,selma,36.5708,-119.6121,34.24,22,0,3.09,US,1688859028
146,port elizabeth,-33.918,25.5701,12.16,59,0,9.26,ZA,1688858883
147,rawson,-43.3002,-65.1023,6.85,93,100,3.77,AR,1688859029
148,mar del plata,-38.0023,-57.5575,9.97,72,100,4.92,AR,1688858425
149,cayenne,4.9333,-52.3333,26.02,94,100,0.51,GF,1688858984
150,biasong,10.5229,123.736,26.96,80,100,0.95,PH,1688859029
151,kozhva,65.1073,57.0459,10.18,84,98,2.08,RU,1688859029
152,araouane,18.9048,-3.5265,36.73,18,37,4.13,ML,1688859030
153,kavieng,-2.5744,150.7967,27.41,78,99,2.35,PG,1688859030
154,los llanos de aridane,28.6585,-17.9182,20.86,94,0,3.09,ES,1688858844
155,arraial do cabo,-22.9661,-42.0278,22.57,61,48,4.27,BR,1688859030
156,rognan,67.0953,15.3878,10.31,92,81,0.18,NO,1688859030
157,zheleznodorozhnyy,55.7503,38.0042,16.23,67,99,2.02,RU,1688859030
158,saint-philippe,-21.3585,55.7679,19.77,73,51,4.22,RE,1688859031
159,berlin,52.5244,13.4105,21.61,57,0,3.13,DE,1688858869
160,victoria,22.2855,114.1577,31.09,82,34,2.68,HK,1688858887
161,thompson,55.7435,-97.8558,19.09,59,75,6.17,CA,1688858493
162,kosino,58.4127,51.2782,15.86,98,63,2.26,RU,1688859101
163,puerto ayora,-0.7393,-90.3518,25.86,90,31,3.58,EC,1688858648
164,olinda,-8.0089,-34.8553,24.85,94,75,2.06,BR,1688859102
165,sibolga,1.7427,98.7792,24.15,87,93,1.36,ID,1688859102
166,coihaique,-45.5752,-72.0662,1.34,93,100,0.0,CL,1688859102
167,nanortalik,60.1432,-45.2371,7.02,81,9,4.85,GL,1688858651
168,saskylakh,71.9167,114.0833,12.91,54,100,1.62,RU,1688859102
169,wajid,3.8093,43.2471,22.01,74,71,8.09,SO,1688859102
170,veraval,20.9,70.3667,27.51,86,92,5.81,IN,1688858996
171,killybegs,54.6333,-8.45,13.66,86,78,2.84,IE,1688859103
172,payson,40.0444,-111.7321,34.21,17,0,2.24,US,1688859103
173,henties bay,-22.116,14.2845,12.94,87,0,6.17,NA,1688859103
174,hamilton,39.1834,-84.5333,25.52,82,75,1.54,US,1688859035
175,yellowknife,62.456,-114.3525,26.29,36,40,5.66,CA,1688858408
176,bosaso,11.2842,49.1816,32.6,41,6,6.86,SO,1688859104
177,sai buri,6.7013,101.6168,24.84,88,100,1.84,TH,1688859104
178,preili,56.2944,26.7246,10.56,97,0,2.71,LV,1688859104
179,takestan,36.0696,49.6959,24.07,24,8,3.16,IR,1688859105
180,baijiantan,45.6333,85.1833,26.95,36,99,3.77,CN,1688859105
181,cherskiy,68.75,161.3,22.01,39,41,2.66,RU,1688859105
182,ozerna,49.6289,25.329,13.75,84,100,1.62,UA,1688859105
183,moindou,-21.6924,165.677,22.05,65,52,3.77,NC,1688859106
184,kawalu,-7.3817,108.2082,22.47,97,95,0.47,ID,1688859106
185,tuktoyaktuk,69.4541,-133.0374,20.0,77,100,3.6,CA,1688858841
186,tagusao,9.1924,117.8141,27.55,79,100,1.1,PH,1688859106
187,sao filipe,14.8961,-24.4956,25.48,86,100,3.55,CV,1688858652
188,lagoa,39.05,-27.9833,19.6,76,17,4.24,PT,1688859107
189,kargasok,59.0556,80.8572,15.73,85,96,3.81,RU,1688859107
190,nouadhibou,20.931,-17.0347,22.99,73,10,8.23,MR,1688859107
191,puri,19.8,85.85,27.29,82,100,4.15,IN,1688859056
192,mollendo,-17.0231,-72.0147,16.45,79,56,2.45,PE,1688859107
193,tual,-5.6667,132.75,26.43,83,77,11.02,ID,1688858879
194,hosur,12.7167,77.8167,20.21,87,100,6.2,IN,1688859108
195,togur,58.3631,82.8265,15.86,96,100,4.46,RU,1688859108
196,ambilobe,-13.2,49.05,18.06,79,59,1.77,MG,1688859108
197,matagami,49.7502,-77.6328,17.06,94,100,4.12,CA,1688859108
198,carnarvon,-24.8667,113.6333,14.29,51,0,6.07,AU,1688858935
199,kovur,14.4833,79.9833,28.59,61,84,4.8,IN,1688859108
200,bhatkal,13.9667,74.5667,25.96,87,100,3.56,IN,1688859109
201,moanda,-1.5575,13.2178,22.87,70,93,1.28,GA,1688859109
202,longyearbyen,78.2186,15.6401,7.91,81,75,0.51,SJ,1688858862
203,nuuk,64.1835,-51.7216,9.34,76,25,4.12,GL,1688858932
204,si chiang mai,17.9564,102.5867,26.99,78,100,2.06,TH,1688859109
205,nelson bay,-32.7167,152.15,16.11,56,0,6.71,AU,1688859109
206,thunder bay,48.4001,-89.3168,19.95,52,20,4.12,CA,1688859110
207,coro,11.4045,-69.6734,27.28,84,100,6.36,VE,1688859110
208,rongcheng,30.634,117.8517,27.31,91,100,1.26,CN,1688859110
209,asind,25.7333,74.3333,25.73,85,99,4.77,IN,1688859110
210,lavrentiya,65.5833,-171.0,7.71,88,97,5.41,RU,1688859111
211,college,64.8569,-147.8028,18.38,56,75,6.17,US,1688859111
212,bilma,18.6853,12.9164,33.44,27,63,3.67,NE,1688859111
213,belmonte,-15.8631,-38.8828,23.49,84,26,4.28,BR,1688858833
214,sobolevo,54.4299,31.8996,11.64,84,17,3.46,RU,1688859112
215,goderich,43.7501,-81.7165,18.28,82,100,5.14,CA,1688859182
216,havre-saint-pierre,50.2334,-63.5986,20.2,83,0,1.03,CA,1688858846
217,fidenza,44.864,10.0667,23.89,80,0,0.75,IT,1688859182
218,arlit,18.7369,7.3853,34.97,11,65,6.55,NE,1688859183
219,avarua,-21.2078,-159.775,27.03,78,75,7.72,CK,1688859183
220,chino valley,34.7575,-112.4538,35.34,12,0,5.14,US,1688859086
221,jabinyanah,35.035,10.9081,30.89,49,2,3.68,TN,1688859183
222,stornoway,58.2093,-6.3865,13.94,89,100,3.09,GB,1688859184
223,tabuk,17.4189,121.4443,26.77,84,96,1.47,PH,1688859184
224,shakiso,5.75,38.9167,14.36,91,100,0.89,ET,1688859184
225,mahebourg,-20.4081,57.7,23.16,78,75,6.69,MU,1688859184
226,yarada,17.65,83.2667,28.92,76,100,4.04,IN,1688859184
227,mae hong son,19.3003,97.9685,26.08,94,20,1.03,TH,1688859184
228,domoni,-12.2569,44.5319,23.64,80,64,2.08,KM,1688859185
229,dikson,73.5069,80.5464,0.92,96,100,8.69,RU,1688859185
230,okhotsk,59.3833,143.3,16.64,65,32,4.21,RU,1688859185
231,lufilufi,-13.8745,-171.5986,30.88,78,92,7.59,WS,1688859185
232,antofagasta,-23.65,-70.4,16.6,85,66,2.84,CL,1688858646
233,sinnamary,5.3833,-52.95,25.63,84,10,2.71,GF,1688859186
234,guanajuato,21.0186,-101.2591,22.44,74,95,4.72,MX,1688859186
235,invermere,50.5167,-116.0354,31.87,10,5,0.91,CA,1688859186
236,san carlos de bariloche,-41.1456,-71.3082,3.86,75,75,7.2,AR,1688859186
237,ahipara,-35.1667,173.1667,16.01,81,22,7.86,NZ,1688859186
238,rock sound,24.9,-76.2,28.65,71,20,3.99,BS,1688858942
239,aklavik,68.2191,-135.0107,21.0,88,75,3.6,CA,1688859187
240,hasaki,35.7333,140.8333,28.22,88,100,6.42,JP,1688859187
241,nyurba,63.2842,118.3319,17.82,50,52,1.42,RU,1688859187
242,batagay,67.6333,134.6333,7.97,59,97,3.17,RU,1688859187
243,gorgan,36.8387,54.4348,23.98,83,0,2.06,IR,1688859188
244,moree,-29.4667,149.85,11.1,64,0,3.5,AU,1688858999
245,santa isabel do rio negro,-0.4139,-65.0192,25.25,79,76,1.41,BR,1688859188
246,hithadhoo,-0.6,73.0833,27.1,69,87,1.19,MV,1688858477
247,ler,8.3018,30.1418,22.8,89,92,1.18,SS,1688859188
248,egvekinot,66.3167,-179.1667,11.26,58,31,1.94,RU,1688859189
249,sabha,27.0377,14.4283,29.1,25,48,5.38,LY,1688859189
250,adrar,20.5022,-10.0711,35.35,13,32,8.95,MR,1688859190
251,turayf,31.6725,38.6637,24.14,46,0,5.66,SA,1688859190
252,praia da vitoria,38.7333,-27.0667,20.14,88,0,1.63,PT,1688859191
253,beloha,-25.1667,45.05,18.06,71,3,1.67,MG,1688859192
254,baturite,-4.3286,-38.8847,22.7,92,38,1.42,BR,1688859066
255,jasper,37.2001,-94.3502,27.72,57,40,7.72,US,1688859193
256,paamiut,61.994,-49.6678,3.7,97,53,2.16,GL,1688859193
257,rockhampton,-23.3833,150.5,15.94,51,0,1.54,AU,1688859193
258,yerbogachen,61.2767,108.0108,20.9,55,3,1.89,RU,1688859194
259,kanigoro,-8.13,112.219,23.81,91,52,2.64,ID,1688859194
260,eyrarbakki,63.863,-21.1481,14.0,71,49,1.96,IS,1688859194
261,clyde river,70.4692,-68.5914,4.13,87,0,3.09,CA,1688859194
262,walvis bay,-22.9575,14.5053,12.83,76,0,2.57,NA,1688859194
263,oktyabrskiy,54.4815,53.471,18.47,62,47,1.21,RU,1688859194
264,almaznyy,48.0448,40.045,18.46,91,98,2.93,RU,1688859195
265,copiapo,-27.3667,-70.3333,11.83,56,58,0.52,CL,1688859195
266,mogadishu,2.0371,45.3438,25.16,82,31,8.49,SO,1688858925
267,abashiri,44.0213,144.2697,26.16,73,0,1.54,JP,1688859079
268,yenangyaung,20.4667,94.8833,27.63,73,100,3.39,MM,1688859195
269,wasilla,61.5814,-149.4394,16.77,62,100,3.6,US,1688859196
270,huaidian,33.4333,115.0333,29.94,77,47,5.61,CN,1688859196
271,dingle,10.9995,122.6711,27.37,84,100,1.6,PH,1688859266
272,labuhan,-6.8844,112.2051,25.43,85,42,2.94,ID,1688859266
273,zhigansk,66.7697,123.3711,15.28,47,41,3.46,RU,1688859266
274,bilecik,40.0,30.1667,16.38,96,70,5.03,TR,1688859267
275,portland,45.5234,-122.6762,30.25,43,20,4.12,US,1688859067
276,paralimni,35.0375,33.9833,25.27,99,0,3.87,CY,1688859267
277,cervo,43.6702,-7.4101,15.54,83,69,2.92,ES,1688859267
278,bairiki,1.3292,172.9752,28.0,89,100,3.09,KI,1688859267
279,kloulklubed,7.0419,134.2556,28.28,74,38,2.82,PW,1688859267
280,nouakchott,18.0858,-15.9785,26.96,81,81,6.31,MR,1688859268
281,marsa matruh,31.3525,27.2453,25.11,83,0,3.09,EG,1688859269
282,paris,48.8534,2.3488,25.28,73,0,3.09,FR,1688858987
283,shellbrook,53.2168,-106.4011,24.57,33,71,7.14,CA,1688859269
284,hauzenberg,48.65,13.6333,19.92,64,45,0.9,DE,1688859270
285,istria,44.5667,28.7167,19.53,66,99,10.25,RO,1688859270
286,sergeyevka,53.88,67.4158,17.06,66,88,2.5,KZ,1688859270
287,esmeraldas,-19.7625,-44.3139,21.58,47,14,0.63,BR,1688859270
288,srednekolymsk,67.45,153.6833,10.45,54,98,7.92,RU,1688859271
289,bima,-8.4667,118.7167,25.58,83,11,2.13,ID,1688859271
290,suzun,53.7841,82.3116,15.48,78,2,2.93,RU,1688859271
291,bijie,27.3125,105.2942,19.58,92,100,1.72,CN,1688859271
292,luanda,-8.8368,13.2343,21.0,83,75,2.57,AO,1688859271
293,kardla,58.9978,22.7492,15.59,84,1,5.48,EE,1688859272
294,cidreira,-30.1811,-50.2056,16.72,84,100,2.99,BR,1688859272
295,hollola,61.05,25.4333,13.17,92,88,3.45,FI,1688859272
296,pontal do parana,-25.6533,-48.5128,18.15,94,72,3.5,BR,1688859272
297,hobyo,5.3505,48.5268,24.95,80,96,12.05,SO,1688859272
298,mayahi,13.9553,7.6712,33.93,34,93,2.64,NE,1688859273
299,fare,-16.7,-151.0167,26.87,79,31,8.57,PF,1688859273
300,carolina,18.3808,-65.9574,27.94,91,75,2.57,PR,1688859023
301,jalu,29.0331,21.5482,27.06,31,0,6.9,LY,1688859273
302,poum,-20.2333,164.0167,22.72,74,65,5.09,NC,1688859273
303,vila velha,-20.3297,-40.2925,23.97,82,0,3.6,BR,1688859260
304,pocatello,42.8713,-112.4455,29.71,27,40,4.02,US,1688859198
305,severomuysk,56.1481,113.4267,17.1,52,93,1.48,RU,1688859274
306,vao,-22.6667,167.4833,20.03,59,29,3.78,NC,1688859274
307,san quintin,30.4833,-115.95,20.1,68,1,7.04,MX,1688859274
308,villa guerrero,18.8667,-99.65,25.79,84,66,1.1,MX,1688859274
309,junagarh,19.8667,82.9333,26.25,83,97,1.34,IN,1688859275
310,marapanim,-0.7175,-47.6997,23.52,95,25,1.76,BR,1688859275
311,port hedland,-20.3167,118.5667,10.03,43,5,4.12,AU,1688859275
312,alexandria,31.2156,29.9553,25.3,78,0,8.07,EG,1688859003
313,kant,27.8,79.8,28.28,78,64,4.57,IN,1688859275
314,nyagan,62.1406,65.3936,14.28,67,87,1.56,RU,1688859276
315,faya,18.3851,42.4509,20.06,46,81,1.69,SA,1688859276
316,verkh-usugli,52.7,115.1667,19.38,81,83,1.49,RU,1688859276
317,shimoda,34.6667,138.95,26.72,95,100,8.15,JP,1688858980
318,banff,51.1762,-115.5698,28.21,14,10,2.06,CA,1688859016
319,quartucciu,39.2519,9.1794,26.12,75,0,2.57,IT,1688859277
320,aksarka,66.5606,67.7975,10.42,71,79,2.22,RU,1688859277
321,porterville,36.0652,-119.0168,33.62,22,0,3.09,US,1688859250
322,oga,46.4631,10.347,15.45,86,1,1.53,IT,1688859277
323,tiksi,71.6872,128.8694,3.74,61,90,3.76,RU,1688859277
324,terra santa,-2.1042,-56.4869,26.0,72,49,1.32,BR,1688859277
325,mount isa,-20.7333,139.5,13.87,41,4,5.14,AU,1688859038
326,suyan,6.0603,125.3853,26.78,82,99,0.7,PH,1688859348
327,tessalit,20.1986,1.0114,34.29,10,1,5.82,ML,1688859348
328,la ronge,55.1001,-105.2842,23.14,46,100,2.57,CA,1688859348
329,high prairie,55.4334,-116.4858,26.98,39,9,2.21,CA,1688859348
330,senador jose porfirio,-2.5908,-51.9542,25.46,81,93,0.08,BR,1688859349
331,utinga,-5.8172,-35.3954,25.47,88,20,2.06,BR,1688859349
332,mataram,-8.5833,116.1167,24.45,86,46,4.73,ID,1688859349
333,te anau,-45.4167,167.7167,8.16,88,99,0.3,NZ,1688859349
334,namatanai,-3.6667,152.4333,25.88,88,100,1.82,PG,1688859350
335,sovetskaya gavan,48.9723,140.2878,24.99,56,7,2.25,RU,1688859350
336,racalmuto,37.4071,13.7338,26.79,37,0,0.7,IT,1688859350
337,leningradskiy,69.3833,178.4167,11.32,65,37,4.89,RU,1688859350
338,ostrovnoy,68.0531,39.5131,6.15,87,100,5.83,RU,1688859350
339,erenhot,43.6475,111.9767,22.1,47,14,1.95,CN,1688859350
340,daru,-9.0763,143.2092,25.87,88,100,7.46,PG,1688859351
341,enid,36.3956,-97.8784,29.82,61,0,5.14,US,1688859105
342,pinega,64.7001,43.3936,7.93,85,100,3.32,RU,1688859351
343,san patricio,28.017,-97.5169,34.54,61,39,7.41,US,1688859351
344,camiri,-20.05,-63.5167,19.59,84,99,1.27,BO,1688859351
345,ancud,-41.8697,-73.8203,8.88,87,100,11.0,CL,1688858840
346,bandarbeyla,9.4942,50.8122,24.48,77,38,12.65,SO,1688859352
347,shelburne,44.0787,-80.2041,18.46,80,99,0.58,CA,1688859352
348,alyangula,-13.8483,136.4192,23.48,69,15,6.93,AU,1688859352
349,kaset sombun,16.2805,101.9542,26.72,81,72,0.64,TH,1688859352
350,terrace,54.5163,-128.6035,31.95,37,20,4.63,CA,1688859352
351,cockburn town,21.4612,-71.1419,27.96,80,5,7.49,TC,1688859353
352,goedereede,51.8175,3.9806,23.88,73,100,2.06,NL,1688859353
353,kapustin yar,48.5831,45.7372,31.7,23,100,6.12,RU,1688859353
354,shirakawa,37.1223,140.2376,28.86,87,100,1.84,JP,1688859353
355,ouallam,14.3188,2.0866,32.34,43,28,3.6,NE,1688859353
356,mercedes,-34.6515,-59.4307,11.61,82,76,3.5,AR,1688859215
357,tocopilla,-22.092,-70.1979,17.09,76,62,4.34,CL,1688859114
358,bambous virieux,-20.3428,57.7575,23.14,78,75,6.69,MU,1688859354
359,hervey bay,-25.2986,152.8535,15.96,46,6,5.36,AU,1688859354
360,suez,29.9737,32.5263,24.53,64,0,2.12,EG,1688859354
361,thayetmyo,19.3167,95.1833,26.47,82,98,2.22,MM,1688859354
362,mehamn,71.0357,27.8492,5.97,93,100,2.06,NO,1688859355
363,quatre cocos,-20.2078,57.7625,23.06,70,8,6.89,MU,1688859355
364,turukhansk,65.8167,87.9833,19.02,88,91,2.54,RU,1688859355
365,hay river,60.8156,-115.7999,25.99,36,20,5.14,CA,1688859355
366,pell city,33.5862,-86.2861,26.87,86,0,3.09,US,1688859255
367,keti bandar,24.1447,67.4497,28.79,84,100,6.04,PK,1688859355
368,itarema,-2.9248,-39.9167,25.86,84,4,5.99,BR,1688859356
369,grindavik,63.8424,-22.4338,12.97,76,75,2.57,IS,1688859356
